City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
4,Hilo,US,86.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
8,Rikitea,PF,75.27,broken clouds,-23.1203,-134.9692,Pension Maro'i
15,Poso,ID,83.16,broken clouds,-1.3959,120.7524,Hotel 77 Poso
20,Auki,SB,85.08,overcast clouds,-8.7676,160.7034,Auki Motel
24,Portland,US,80.67,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
31,Butaritari,KI,82.74,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
32,Kulhudhuffushi,MV,82.08,overcast clouds,6.6221,73.07,Haajy Guest House 1
34,Albany,US,77.18,broken clouds,42.6001,-73.9662,
36,Pecos,US,86.09,clear sky,31.4229,-103.4932,Knights Inn Pecos
37,Nishihara,JP,83.86,broken clouds,26.1842,127.7558,Minshuku Agaihama
39,Show Low,US,84.49,few clouds,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
43,Benjamin Constant,BR,77.13,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
48,Kampot,KH,84.25,broken clouds,10.6167,104.1833,Two Moons Hotel
51,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
58,Salalah,OM,80.69,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
60,Padang,ID,77.16,overcast clouds,-0.9492,100.3543,Mercure Padang
61,Marsh Harbour,BS,79.14,broken clouds,26.5412,-77.0636,Abaco Beach Resort
64,Chigorodo,CO,78.06,overcast clouds,7.6664,-76.6811,Hotel Las Guaduas Del Darien
69,Rudbar,AF,85.73,clear sky,30.15,62.6,
72,Russell,US,78.51,light rain,32.3502,-85.1999,Macs
76,Bhopal,IN,82.92,broken clouds,23.2667,77.4,SPOT ON 63658 Shukla Lodge
77,Leo,BF,78.46,moderate rain,11.1,-2.1,Hotel Sissilis
84,Santa Cruz,BO,77.05,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
85,Kandi,BJ,77.76,overcast clouds,11.1342,2.9386,Baric Motel De Kandi
87,Moindou,NC,76.95,broken clouds,-21.6924,165.677,Gite de la RYAWA
89,Hede,CN,78.28,clear sky,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
91,Manali,IN,85.06,overcast clouds,13.1667,80.2667,Sarathy Lodge
94,Yumen,CN,78.39,scattered clouds,40.2833,97.2,
96,Najran,SA,75.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
102,Takoradi,GH,79.25,broken clouds,4.8845,-1.7554,Raybow International Hotel
103,Umm Kaddadah,SD,83.37,overcast clouds,13.6017,26.6876,
104,Veraval,IN,84.09,broken clouds,20.9,70.3667,Lords Inn Somnath
108,Jalu,LY,77.95,clear sky,29.0331,21.5482,صاحبة الفخامة
112,Mitsamiouli,KM,78.24,clear sky,-11.3847,43.2844,Foyer ADM
113,Verkhoyansk,RU,80.42,overcast clouds,67.5447,133.385,
115,Uvalde,US,81.52,broken clouds,29.3669,-99.767,
116,Kapaa,US,81.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
120,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
122,Bara,NG,79.92,overcast clouds,10.3744,10.7288,
125,Abu Dhabi,AE,87.82,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
126,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
129,Parnamirim,BR,76.89,few clouds,-5.9156,-35.2628,Pousada Joaci
131,Atuona,PF,79.32,light rain,-9.8,-139.0333,Villa Enata
133,Nanzhang,CN,77.68,clear sky,31.7765,111.8386,Longmenkezhan
135,Brownsville,US,78.91,broken clouds,25.9018,-97.4975,University Inn & Suites
137,Champasak,LA,77.11,broken clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
144,Yarada,IN,82.72,mist,17.65,83.2667,Jeevan
146,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
148,Kununurra,AU,75.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
154,Faanui,PF,80.22,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
157,Port Blair,IN,83.08,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
163,Tomatlan,MX,89.19,broken clouds,19.9333,-105.25,Norma franco
166,Bandarbeyla,SO,79.36,clear sky,9.4942,50.8122,JABIR HOTEL
171,Punta Cardon,VE,80.28,overcast clouds,11.6581,-70.215,Bambuda hotel
172,Jining,CN,76.89,few clouds,35.405,116.5814,Yunhe Star Hotel
176,Khao Wong,TH,83.01,overcast clouds,16.7001,104.0902,ลำน้ำยังรีสอร์ท
177,Poum,NC,75.34,overcast clouds,-20.2333,164.0167,Gîte kajeon
185,Labuhan,ID,80.06,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
187,San Patricio,US,84.29,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
189,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
191,Taixing,CN,77.0,broken clouds,32.1667,120.0136,7Days Inn Taixing Drum Tower South Road
193,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
194,Hami,CN,81.34,broken clouds,42.8,93.45,Laoyutang Resort
197,Pochutla,MX,89.42,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
199,Trinidad,BO,82.38,broken clouds,-14.8333,-64.9,Hotel Piesta
202,Bac Lieu,VN,83.8,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
204,Domoni,KM,76.75,few clouds,-12.2569,44.5319,Al Djadid
205,Puerto Cabezas,NI,85.96,broken clouds,14.0351,-83.3888,Cabaña Caribe
206,Dakar,SN,77.88,few clouds,14.6937,-17.4441,Redface Studios Meublés
208,Isangel,VU,80.71,scattered clouds,-19.55,169.2667,Tanna Lodge
209,Hithadhoo,MV,81.86,overcast clouds,-0.6,73.0833,Scoop Guest House
210,Dasoguz,TM,80.71,clear sky,41.8363,59.9666,Hotel Erik
212,Angoram,PG,83.57,overcast clouds,-4.0625,144.0661,
213,Daru,PG,80.37,overcast clouds,-9.0763,143.2092,Daru Lodge
215,Meadow Lake,US,86.32,few clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
227,Kieta,PG,84.06,light rain,-6.2167,155.6333,Uruna Bay Retreat
230,Kalmunai,LK,78.22,overcast clouds,7.4167,81.8167,VS Villa
231,Sindou,BF,82.96,light rain,10.6667,-5.1667,LERABA HOTEL
236,Jamestown,US,76.32,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
247,Axim,GH,78.93,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
248,San Policarpo,PH,79.86,heavy intensity rain,12.1791,125.5072,JM Lodge
253,Sulangan,PH,83.23,light rain,11.1373,123.7228,Maia's Beach Resort
256,Lompoc,US,84.78,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
258,Chiang Kham,TH,75.11,overcast clouds,19.5233,100.3,Rico Resort
264,Abnub,EG,75.42,clear sky,27.2696,31.1511,Romany Adly Gad
265,North Platte,US,89.49,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
267,Virginia Beach,US,79.02,heavy intensity rain,36.8529,-75.978,Hilton Virginia Beach Oceanfront
268,Iralaya,HN,86.09,few clouds,15.0,-83.2333,Iglesia morava renovada
269,Adiake,CI,80.19,overcast clouds,5.2863,-3.304,Monhotel résidence Inn Adiake
272,Mawlaik,MM,81.07,scattered clouds,23.6333,94.4167,AKZ Guest House
273,Pemangkat,ID,80.29,broken clouds,1.1667,108.9667,Ramah Kost KITA
275,Koumac,NC,77.7,broken clouds,-20.5667,164.2833,Le Monitel
276,Dawei,MM,80.91,light rain,14.0833,98.2,Hotel Dawei
277,Dapaong,TG,79.05,overcast clouds,10.8639,0.205,Hotel Caroli
280,San Matias,BO,80.06,few clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
281,Tautira,PF,86.02,broken clouds,-17.7333,-149.15,Pension Oaoa
284,Ca Mau,VN,83.37,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
287,Cangzhou,CN,79.45,light rain,38.3167,116.8667,Jinji Express Hotel
288,Sioux Lookout,CA,86.38,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
291,Baker City,US,86.94,clear sky,44.7749,-117.8344,Bridge Street Inn
292,Revelstoke,CA,78.82,overcast clouds,50.9832,-118.2023,Best Western Plus Revelstoke
296,Tiarei,PF,86.02,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
299,Ixtapa,MX,84.22,broken clouds,20.7,-105.2,Hotel Plaza Providencia
301,Brokopondo,SR,77.68,broken clouds,4.75,-55.1667,Matu Island
302,Gamba,GA,75.4,few clouds,-2.65,10.0,
315,Tagusao,PH,83.44,overcast clouds,9.1924,117.8141,Toledo
319,Pacific Grove,US,88.14,clear sky,36.6177,-121.9166,Lovers Point Inn
322,Kavieng,PG,84.29,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
327,Erie,US,75.34,few clouds,42.7667,-78.6664,Hampton Inn East Aurora
330,La Romana,DO,80.96,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
338,Stephenville,US,77.0,broken clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
339,Lagos,NG,76.21,overcast clouds,6.5833,3.75,
341,Gorontalo,ID,81.99,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
342,Savannah Bight,HN,86.05,clear sky,16.45,-85.85,Villa on Dunbar Rock
343,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
344,Phuket,TH,86.09,broken clouds,8.0,98.25,The Surin Phuket
345,Tubuala,PA,84.31,overcast clouds,9.5167,-79.0333,Río Nabagana
349,Acapulco,MX,89.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
353,Palmerston,AU,75.92,clear sky,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
355,Voh,NC,80.28,broken clouds,-20.9667,164.7,Le gîte du Koniambo
356,Sur,OM,87.17,clear sky,22.5667,59.5289,Sur Plaza Hotel
357,Atambua,ID,77.5,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
361,Natal,BR,77.22,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
370,Puerto Narino,CO,76.95,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
371,Namatanai,PG,83.82,light rain,-3.6667,152.4333,Seagulls Inn Namatani
373,Hambantota,LK,78.96,moderate rain,6.1241,81.1185,Bungalow 63
377,Hamilton,US,85.05,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
378,Les Cayes,HT,79.47,broken clouds,18.2,-73.75,Villa Orphee
380,Umm Lajj,SA,80.2,clear sky,25.0213,37.2685,Moon light Furnished Units
384,Banda Aceh,ID,78.22,heavy intensity rain,5.5577,95.3222,Sulthan Hotel International
386,Cedar City,US,86.97,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
388,Palu,ID,83.03,scattered clouds,-0.8917,119.8707,Hotel Santika Palu
399,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
400,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
401,Goderich,CA,79.12,scattered clouds,43.7501,-81.7165,Harmony Inn
402,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
405,San Nicolas,PH,80.51,overcast clouds,18.1725,120.5953,NORTHVIEW Hotel
407,Half Moon Bay,US,86.11,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
410,Stabat,ID,77.2,overcast clouds,3.761,98.4513,Link VII damai
411,Hobyo,SO,78.19,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
413,San Jose,US,89.11,few clouds,37.3394,-121.895,The Westin San Jose
415,Loa Janan,ID,79.41,scattered clouds,-0.583,117.095,Pondok hijau 2A
420,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
422,Victoria,HK,80.94,overcast clouds,22.2855,114.1577,Mini Hotel Central
428,Maragogi,BR,76.28,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
432,Biak,ID,79.74,broken clouds,-0.9131,122.8766,Penginapan Kim
434,Bonoua,CI,80.22,light rain,5.2741,-3.595,Hotel Bon Samaritian
435,Kourou,GF,81.1,broken clouds,5.1552,-52.6478,Lodge Takini 4
439,Sabang,ID,81.97,overcast clouds,5.8933,95.3214,Hotel Citra
444,Sola,VU,79.16,broken clouds,-13.8833,167.55,Leumerus Bungalows
445,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
447,Korla,CN,76.5,broken clouds,41.7597,86.1469,Gulisitan Hotel
449,Roma,US,80.46,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
457,Teknaf,BD,81.82,overcast clouds,20.8624,92.3058,Forestry Guesthouse
459,Eyl,SO,78.84,clear sky,7.9803,49.8164,Amiin Hotel
462,Bhigvan,IN,77.79,overcast clouds,18.3167,74.7667,Hotel Sagar
463,Bend,US,83.48,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
464,Vieques,PR,80.64,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
465,Komsomolskiy,UZ,76.42,clear sky,40.4272,71.7189,Ikathouse
470,Anloga,GH,79.02,broken clouds,5.7947,0.8973,Pin Drop Hotel
472,Samarai,PG,77.31,overcast clouds,-10.6167,150.6667,Nuli Sapi
476,Dwarka,IN,83.86,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
477,Qui Nhon,VN,85.55,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
481,Portel,BR,75.72,scattered clouds,-1.9356,-50.8211,Kitnet do Marcos
482,Bahia De Caraquez,EC,75.38,broken clouds,-0.6,-80.4167,La Piedra Hotel
484,Pangkalanbuun,ID,78.94,few clouds,-2.6833,111.6167,Grand Kecubung Hotel
488,Mattru,SL,77.0,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
491,Santa Cruz Del Norte,CU,81.21,broken clouds,23.1539,-81.9236,Felipon Pon Pon
492,Tambun,ID,82.11,mist,-6.2641,107.0712,@HOM Premiere Tambun
495,Barhi,IN,83.41,overcast clouds,23.9,80.8,"Govt , st senior boys hostel Barhi"
496,Biloxi,US,82.45,clear sky,30.396,-88.8853,Golden Nugget Biloxi Hotel & Casino
501,Sinnamary,GF,77.16,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
503,Cururupu,BR,76.1,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
504,Presque Isle,US,78.78,few clouds,46.6811,-68.0159,Hampton Inn Presque Isle
505,Dawlatabad,AF,82.72,few clouds,36.4141,64.9053,WASIM ASGAR KHAN
508,Phangnga,TH,85.91,overcast clouds,8.4509,98.5298,Sunimit Mansion
509,Point Fortin,TT,78.15,overcast clouds,10.1833,-61.6833,Jus Les' Suites
513,Soyo,AO,76.93,broken clouds,-6.1349,12.3689,Hotel Mpampa
514,Sao Raimundo Das Mangabeiras,BR,79.77,few clouds,-7.0219,-45.4811,Hotel Tropical
520,Birao,CF,80.47,light rain,10.2849,22.7882,
521,Logansport,US,88.03,clear sky,40.7545,-86.3567,"Holiday Inn Express & Suites Logansport, an IHG Hotel"
523,Aripuana,BR,78.12,overcast clouds,-9.1667,-60.6333,
526,Paka,MY,76.93,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA
527,Nabire,ID,81.09,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
531,Anori,BR,75.96,scattered clouds,-3.7728,-61.6442,Novo Hotel 05 Irmaos
532,Jati,PK,84.04,few clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
541,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
542,Ormara,PK,83.77,broken clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
547,Mecca,SA,81.73,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
548,Omboue,GA,76.48,scattered clouds,-1.5746,9.2618,Hotel Olako
549,Mandera,KE,77.74,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
550,Sao Gabriel Da Cachoeira,BR,75.27,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
552,Linqiong,CN,76.78,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
555,Herat,AF,75.81,clear sky,34.5,62.0,
556,Richmond,US,78.78,clear sky,37.5538,-77.4603,The Jefferson Hotel
557,Kaura Namoda,NG,88.79,scattered clouds,12.5898,6.5779,Moonlight Hotel
562,Primo Tapia,MX,84.51,clear sky,32.22,-116.9172,Puerto Nuevo Baja Hotel y Villas
563,Rantepao,ID,75.04,broken clouds,-2.9701,119.8978,Hotel Luta Resort
565,Merauke,ID,78.84,overcast clouds,-8.4667,140.3333,
566,Jeremie,HT,80.47,scattered clouds,18.65,-74.1167,Auberge’Inn
567,Lubbock,US,80.38,broken clouds,33.6001,-101.8338,La Quinta Inn by Wyndham Lubbock - Downtown Civic Center
576,Kuching,MY,77.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
578,Kavaratti,IN,82.56,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
579,Banff,CA,76.23,clear sky,51.1762,-115.5698,Banff Aspen Lodge
581,Obala,CM,75.07,moderate rain,4.1667,11.5333,The yafe
582,Jinchang,CN,75.07,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
585,Mayumba,GA,75.88,broken clouds,-3.432,10.6554,LIKWALE LODGE
588,Saint-Georges,GD,82.08,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
590,Bull Savanna,JM,77.65,scattered clouds,17.8868,-77.5902,Big Red's
591,Tucuma,BR,75.96,overcast clouds,-0.1833,-50.05,
592,Ende,ID,81.01,scattered clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
597,Pio Xii,BR,76.17,few clouds,-3.8325,-45.1525,BACURI DOS QUARESMAS
600,Mogadishu,SO,78.64,broken clouds,2.0371,45.3438,Hotel Juba
604,Diu,IN,84.0,scattered clouds,20.7141,70.9822,Hotel Relax Inn
606,Trairi,BR,77.63,clear sky,-3.2778,-39.2689,janelas do mar
610,Jiazi,CN,76.77,broken clouds,22.8779,116.067,Hotel Jin Hao
612,Elat,IL,78.64,clear sky,29.5581,34.9482,Club Hotel Eilat
616,Bhachau,IN,83.53,clear sky,23.2833,70.35,Amrut Bagh Resort
618,Itoman,JP,84.58,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
619,Tamale,GH,76.64,broken clouds,9.4008,-0.8393,Tap Hotel
620,Mayo,US,82.81,few clouds,38.8876,-76.5119,Resorts Resource Group International
621,Ewa Beach,US,85.98,broken clouds,21.3156,-158.0072,Uncle Junior Robert
622,Kota Bahru,MY,78.89,few clouds,6.1333,102.2386,Grand Riverview Hotel
625,Kasangulu,CD,77.88,few clouds,-4.5911,15.1708,Hôtel le Relais
626,Carutapera,BR,77.2,clear sky,-1.195,-46.02,Lidera
636,Gizo,SB,83.91,broken clouds,-8.103,156.8419,Imagination Island
637,Missoula,US,77.4,few clouds,47.0166,-113.8009,Gold Creek Cabin
638,Bosaso,SO,87.96,few clouds,11.2842,49.1816,Red Sea Hotel
639,Pundaguitan,PH,83.05,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
644,Midland,US,81.48,scattered clouds,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
645,Suicheng,CN,75.69,clear sky,33.8963,117.9331,Junyue Hotel
648,Kapit,MY,76.55,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
649,Aswan,EG,80.46,clear sky,24.0934,32.907,Nuba Nile
656,Boueni,YT,78.78,clear sky,-12.9025,45.0761,The feet in water
657,Meybod,IR,87.82,few clouds,32.2501,54.0166,Traditional Hotel Restaurant Haji Malek
658,Dhidhdhoo,MV,82.33,overcast clouds,6.8833,73.1,Dhidhoo beach
659,Sangueya,GN,77.94,broken clouds,10.7,-14.3667,
662,Phichit,TH,87.12,overcast clouds,16.25,100.4167,Rommakham Homestay
663,Lorengau,PG,85.19,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
664,Matthews,US,84.58,clear sky,35.1168,-80.7237,"Holiday Inn Express & Suites Charlotte Southeast - Matthews, an IHG Hotel"
667,Mamallapuram,IN,85.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
669,Berbera,SO,89.49,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
673,Bhindar,IN,80.65,broken clouds,24.5,74.1833,Hotel Rajmahal Bhindar
674,Nisia Floresta,BR,77.38,clear sky,-6.0911,-35.2086,Rancho Crepusculo
678,Pontianak,ID,78.78,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
679,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
